"operatorCode","operatorName","countryName","countryCode","Update"
"AFL","AEROFLOT - RUSSIAN AIRLINES","Russian Federation","RUS","""2017-10-18T01:00:02.487Z"""
"AHK","AHK AIR HONG KONG LIMITED","China","CHN","""2017-10-18T01:00:02.487Z"""
"KOR","AIR KORYO","Democratic People's Republic of Korea","PRK","""2017-10-18T01:00:02.487Z"""
"MAU","AIR MAURITIUS LIMITED","Mauritius","MUS","""2017-10-18T01:00:02.487Z"""
"MLD","AIR MOLDOVA","Republic of Moldova","MDA","""2017-10-18T01:00:02.487Z"""
"GAP","AIR PHILIPPINES CORPORATION","Philippines","PHL","""2017-10-18T01:00:02.487Z"""
"AAL","AMERICAN AIRLINES INC.","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"AUA","AUSTRIAN AIRLINES (AUA) AG","Austria","AUT","""2017-10-18T01:00:02.487Z"""
"BHP","BELAIR AIRLINES AG","Switzerland","CHE","""2017-10-18T01:00:02.487Z"""
"BPA","BLUE PANORAMA AIRLINES SPA","Italy","ITA","""2017-10-18T01:00:02.487Z"""
"KHV","CAMBODIA ANGKOR AIR","Cambodia","KHM","""2017-10-18T01:00:02.487Z"""
"BWA","CARIBBEAN AIRLINES LIMITED","Trinidad and Tobago","TTO","""2017-10-18T01:00:02.487Z"""
"CPA","CATHAY PACIFIC AIRWAYS LTD.","China","CHN","""2017-10-18T01:00:02.487Z"""
"KEM","CEMAIR (PTY) LTD","South Africa","ZAF","""2017-10-18T01:00:02.487Z"""
"CES","CHINA EASTERN AIRLINES","China","CHN","""2017-10-18T01:00:02.487Z"""
"CSN","CHINA SOUTHERN AIRLINES","China","CHN","""2017-10-18T01:00:02.487Z"""
"UCA","COMMUTAIR (PLATTSBURGH, NY)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"CSA","CZECH AIRLINES J.S.C.","Czech Republic","CZE","""2017-10-18T01:00:02.487Z"""
"SDM","ROSSIYA AIRLINES, OPEN JSC","Russian Federation","RUS","""2017-10-18T01:00:02.487Z"""
"GWI","GERMANWINGS GMBH, DORTMUND","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"GFA","GULF AIR","Bahrain","BHR","""2017-10-18T01:00:02.487Z"""
"HVN","HANG KHONG VIET NAM","Viet Nam","VNM","""2017-10-18T01:00:02.487Z"""
"IRB","IRAN AIR TOURS CO.","Iran (Islamic Republic of)","IRN","""2017-10-18T01:00:02.487Z"""
"MKU","ISLAND AIR (HONOLULU, HI)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"BEE","JERSEY EUROPEAN T/A FLYBE","United Kingdom of Great Britain and Northern Ireland","GBR","""2017-10-18T01:00:02.487Z"""
"JST","JETSTAR AIRWAYS PTY. LTD","Australia","AUS","""2017-10-18T01:00:02.487Z"""
"KAL","KOREAN AIR LINES CO., LTD.","Republic of Korea","KOR","""2017-10-18T01:00:02.487Z"""
"LAO","LAO AIRLINES","Lao People's Democratic Republic","LAO","""2017-10-18T01:00:02.487Z"""
"LNI","LION MENTARI AIRLINES, PT.","Indonesia","IDN","""2017-10-18T01:00:02.487Z"""
"GEC","LUFTHANSA CARGO AG,","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"IRM","MAHAN AIR","Iran (Islamic Republic of)","IRN","""2017-10-18T01:00:02.487Z"""
